geneID	DGRP.177	SP.159N
FBgn0010228	5410	5027
FBgn0010235	1013	1051
FBgn0010238	1413	1575
FBgn0010246	1090	1054
FBgn0010247	73	55
FBgn0010265	17548	17699
FBgn0010269	227	222
FBgn0010278	178	181
FBgn0010280	1097	1142
FBgn0010287	103	128
FBgn0010288	266	280
FBgn0010292	157	149
FBgn0010300	682	739
FBgn0010303	1084	1037
FBgn0010309	300	283
FBgn0010313	826	853
FBgn0010315	283	244
FBgn0010316	198	192
FBgn0010317	37	31
FBgn0010328	727	697
FBgn0010339	368	388
FBgn0010340	100	86
FBgn0010341	1503	1619
FBgn0010342	198	166
FBgn0010348	1598	1568
FBgn0010350	6820	6590
FBgn0010352	13598	13632
FBgn0010355	478	570
FBgn0010356	245	218
FBgn0010379	444	397
FBgn0010380	1294	1291
FBgn0010383	1321	1374
FBgn0010387	3694	1075
FBgn0010391	759	768
FBgn0010397	1323	1216
FBgn0010398	60	60
FBgn0010406	1328	1317
FBgn0010408	6926	5926
FBgn0010409	10431	10542
FBgn0010411	25552	20713
FBgn0010412	12626	11200
FBgn0010415	8753	7470
FBgn0010416	505	456
FBgn0010421	159	110
FBgn0010422	541	521
FBgn0010434	4173	4363
FBgn0010441	371	419
FBgn0010470	2878	3172
FBgn0010488	7774	8135
FBgn0010497	153	129
FBgn0010501	48	46
FBgn0010516	4974	5370
FBgn0010520	139	158
FBgn0010531	372	357
FBgn0010548	1137	1234
FBgn0010551	2893	3260
FBgn0010583	894	844
FBgn0010590	1684	1671
FBgn0010591	1447	1679
FBgn0010602	1476	1535
FBgn0010607	76	110
FBgn0010611	1237	1057
FBgn0010612	2807	3241
FBgn0010622	379	445
FBgn0010638	1084	1192
FBgn0010651	2188	2389
FBgn0010660	271	243
FBgn0010741	557	607
FBgn0010747	1509	1741
FBgn0010750	147	105
FBgn0010762	901	778
FBgn0010768	195	131
FBgn0010770	108	123
FBgn0010774	1023	1091
FBgn0010786	1422	1113
FBgn0010803	269	250
FBgn0010808	1608	1745
FBgn0010812	211	194
FBgn0010825	1577	1544
FBgn0010830	134	120
FBgn0010877	992	1064
FBgn0010894	432	391
FBgn0010905	2855	3065
FBgn0010909	2181	2089
FBgn0010926	237	205
FBgn0011016	434	375
FBgn0011202	471	558
FBgn0011204	1021	1096
FBgn0011207	642	610
FBgn0011211	28256	26729
FBgn0011217	1228	1218
FBgn0011224	1843	1687
FBgn0011225	6460	6514
FBgn0011230	10267	10185
FBgn0011232	630	621
FBgn0011260	1040	802
FBgn0011272	27539	26220
FBgn0011284	28464	29213
FBgn0011289	1075	1235
FBgn0011291	134	143
FBgn0011297	386	391
FBgn0011300	843	852
FBgn0011305	609	721
FBgn0011327	340	462
FBgn0011335	225	248
FBgn0011336	2000	2062
FBgn0011361	945	851
FBgn0011455	3815	4486
FBgn0011474	166	228
FBgn0011476	59	40
FBgn0011481	1542	1579
FBgn0011509	465	441
FBgn0011566	139	164
FBgn0011570	748	768
FBgn0011573	482	495
FBgn0011584	4729	4695
FBgn0011586	870	780
